"Allergy & Immunology, Allergy"
"Nurse Practitioner, Neonatal, Critical Care"
"Nurse Practitioner, Obstetrics & Gynecology"
"Nurse Practitioner, Pediatrics"
"Nurse Practitioner, Pediatrics, Critical Care"
"Nurse Practitioner, Primary Care"
"Nurse Practitioner, Psych/Mental Health"
"Nurse Practitioner, Women's Health"
"Nutritionist, Nutrition, Education"
"Obstetrics & Gynecology, Gynecology"
"Obstetrics & Gynecology, Hospice and Palliative Medicine"
"Obstetrics & Gynecology, Maternal & Fetal Medicine"
"Obstetrics & Gynecology, Obstetrics"
"Obstetrics & Gynecology, Reproductive Endocrinology"
"Obstetrics & Gynecology, Urogynecology and Reconstructive Pelvic Surgery"
"Occupational Therapist, Hand"
"Occupational Therapist, Pediatrics"
"Occupational Therapist, Physical Rehabilitation"
"Occupational Therapy Assistant, Low Vision"
"Ophthalmology, Glaucoma Specialist"
"Ophthalmology, Retina Specialist"
"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery"
"Orthopaedic Surgery, Foot and Ankle Surgery"
"Orthopaedic Surgery, Sports Medicine"
"Otolaryngology, Pediatric Otolaryngology"
"Otolaryngology, Sleep Medicine"
"Pain Medicine, Interventional Pain Medicine"
"Pathology, Anatomic Pathology & Clinical Pathology"
"Pathology, Anatomic Pathology"
"Pathology, Clinical Pathology/Laboratory Medicine"
"Pathology, Cytopathology"
"Pathology, Dermatopathology"
"Pathology, Forensic Pathology"
"Pathology, Hematology"
"Pediatrics, Adolescent Medicine"
"Pediatrics, Neonatal-Perinatal Medicine"
"Pediatrics, Pediatric Cardiology"
"Pediatrics, Pediatric Critical Care Medicine"
"Pediatrics, Pediatric Emergency Medicine"
"Pediatrics, Pediatric Endocrinology"
"Pediatrics, Pediatric Gastroenterology"
"Pediatrics, Pediatric Hematology-Oncology"
"Pediatrics, Pediatric Infectious Diseases"
"Pediatrics, Pediatric Rheumatology"
"Pediatrics, Sports Medicine"
"Pharmacist, Ambulatory Care"
"Pharmacist, Critical Care"
"Pharmacist, Emergency Medicine"
"Pharmacist, Geriatric"
"Pharmacist, Pharmacist Clinician (PhC)/ Clinical Pharmacy Specialist"
"Pharmacist, Pharmacotherapy"
"Pharmacy, Community/Retail Pharmacy"
"Physical Medicine & Rehabilitation, Pain Medicine"
"Physical Medicine & Rehabilitation, Spinal Cord Injury Medicine"
"Physical Therapist, Geriatrics"
"Physical Therapist, Neurology"
"Physical Therapist, Orthopedic"
"Physical Therapist, Pediatrics"
"Physician Assistant, Medical"
"Physician Assistant, Surgical"
"Podiatrist, Foot & Ankle Surgery"
"Preventive Medicine, Occupational Medicine"
"Psychiatry & Neurology, Addiction Medicine"
"Psychiatry & Neurology, Child & Adolescent Psychiatry"
"Psychiatry & Neurology, Epilepsy"
"Psychiatry & Neurology, Neurology"
"Psychiatry & Neurology, Neuromuscular Medicine"
"Psychiatry & Neurology, Psychiatry"
"Psychologist, Adult Development & Aging"
"Psychologist, Clinical Child & Adolescent"
"Psychologist, Clinical"
"Psychologist, Cognitive & Behavioral"
"Psychologist, Counseling"
"Psychologist, Health"
"Psychologist, Prescribing (Medical)"
"Psychologist, Psychoanalysis"
"Psychologist, Rehabilitation"
"Psychologist, School"
"Radiologic Technologist, Magnetic Resonance Imaging"
"Radiology, Body Imaging"
"Radiology, Diagnostic Radiology"
"Radiology, Diagnostic Ultrasound"
"Radiology, Pediatric Radiology"
"Radiology, Therapeutic Radiology"
"Radiology, Vascular & Interventional Radiology"
"Registered Nurse, Addiction (Substance Use Disorder)"
"Registered Nurse, Administrator"
"Registered Nurse, Case Management"
"Registered Nurse, Community Health"
"Registered Nurse, Continuing Education/Staff Development"
"Registered Nurse, Critical Care Medicine"
"Registered Nurse, Diabetes Educator"
"Registered Nurse, Emergency"
"Registered Nurse, Flight"
"Registered Nurse, General Practice"
"Registered Nurse, Home Health"
"Registered Nurse, Infusion Therapy"
"Registered Nurse, Lactation Consultant"
"Registered Nurse, Maternal Newborn"
"Registered Nurse, Medical-Surgical"
"Registered Nurse, Obstetric, Inpatient"
"Registered Nurse, Pain Management"
"Registered Nurse, Pediatrics"
"Registered Nurse, Plastic Surgery"
"Registered Nurse, Psych/Mental Health"
"Registered Nurse, Psych/Mental Health, Adult"
"Registered Nurse, Psych/Mental Health, Child & Adolescent"
"Registered Nurse, Registered Nurse First Assistant"
"Registered Nurse, Rehabilitation"
"Registered Nurse, School"
"Residential Treatment Facility, Intellectual and/or Developmental Disabilities"
"Respiratory Therapist, Certified"
"Respiratory Therapist, Registered"
"Respiratory Therapist, Registered, Critical Care"
"Social Worker, Clinical"
"Social Worker, School"
"Spec/Tech, Cardiovascular, Sonography"
"Spec/Tech, Pathology, Histology"
"Specialist, Prosthetics Case Management"
"Specialist, Research Study"
"Specialist/Technologist, Athletic Trainer"
"Specialist/Technologist, Other, Art, Medical"
"Specialist/Technologist, Other, EEG"
"Specialist/Technologist, Other, Electroneurodiagnostic"
"Specialist/Technologist, Other, Nephrology"
"Specialist/Technologist, Other, Surgical Assistant"
"Specialist/Technologist, Other, Surgical Technologist"
"Specialist/Technologist, Speech-Language Assistant"
"Speech-Language Pathologist,"
"Surgery, Hospice and Palliative Medicine"
"Surgery, Pediatric Surgery"
"Surgery, Plastic and Reconstructive Surgery"
"Surgery, Surgical Oncology"
"Technician, Attendant Care Provider"
"Technician, Other"
"Technician, Pathology, Medical Laboratory"
"Technician, Pathology, Phlebotomy"
"Technician, Personal Care Attendant"
"Technician/Technologist, Optician"
Acupuncturist
Adult Companion
Advanced Practice Midwife
Anesthesiologist Assistant
Anesthesiology
Art Therapist
Assistant Behavior Analyst
Assisted Living Facility
Audiologist
Audiologist-Hearing Aid Fitter
Behavior Analyst
Behavior Technician
Case Management
Case Manager/Care Coordinator
Chiropractor
Clinic/Center
Clinical Exercise Physiologist
Clinical Neuropsychologist
Clinical Nurse Specialist
Colon & Rectal Surgery
Community Health Worker
Community/Behavioral Health
Contractor
Counselor
Day Training/Habilitation Specialist
Dental Assistant
Dental Hygienist
Dentist
Dermatology
Developmental Therapist
Doula
Drama Therapist
Driver
Durable Medical Equipment & Medical Supplies
Early Intervention Provider Agency
Electrodiagnostic Medicine
Emergency Medicine
Family Medicine
Foster Care Agency
General Acute Care Hospital
General Practice
Health & Wellness Coach
Health Educator
Hearing Instrument Specialist
Home Health
Home Health Aide
Homemaker
Hospitalist
In Home Supportive Care
Internal Medicine
Interpreter
Kinesiotherapist
Licensed Practical Nurse
Licensed Psychiatric Technician
Licensed Vocational Nurse
Marriage & Family Therapist
Massage Therapist
Mechanotherapist
Midwife
Music Therapist
Naturopath
Neurological Surgery
Non-emergency Medical Transport (VAN)
Nuclear Medicine
Nurse Practitioner
Nurse's Aide
Nursing Care
Nutritionist
Obstetrics & Gynecology
Occupational Therapist
Occupational Therapy Assistant
Ophthalmology
Optometrist
Orthopaedic Surgery
Orthotic Fitter
Otolaryngology
Pediatrics
Peer Specialist
Pharmacist
Pharmacy Technician
Physical Medicine & Rehabilitation
Physical Therapist
Physical Therapy Assistant
Physician Assistant
Plastic Surgery
Podiatrist
Private Vehicle
Prosthetist
Psychiatric Unit
Psychoanalyst
Psychologist
Radiologic Technologist
Recreation Therapist
Registered Nurse
Rehabilitation Practitioner
Secured Medical Transport (VAN)
Skilled Nursing Facility
Social Worker
Specialist
Student in an Organized Health Care Education/Training Program
Surgery
Technician
Technician/Technologist
Thoracic Surgery (Cardiothoracic Vascular Surgery)
Urology
Veterinarian
