hospital_id,hospital_name,doctor_npi,doctor_full_name,department,specialty
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1437844693,Dr. MUSTAFA ALSHARAFI,General Practice,General Practice
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1154942209,Dr. RACHEL ALTMAN,General/Other,"Nurse Practitioner, Primary Care"
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1346104619,Dr. MARISELA ALVAREZ,General/Other,Case Manager/Care Coordinator
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1023657509,Dr. ROBERTO ALVAREZ,General/Other,Physical Therapist
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1083995427,Dr. MOISES ALVAREZ-FERNANDEZ,General/Other,"Physician Assistant, Medical"
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1508079906,Dr. TARA AMINI,General/Other,Physician Assistant
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1205568417,Dr. SYDNEY ANDERSON,General/Other,Behavior Technician
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1033074752,Dr. JENNIFER ANDRADE,General/Other,Massage Therapist
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1144475583,Dr. ANIL REDDY ANUMANDLA,Internal Medicine,"Internal Medicine, Cardiovascular Disease"
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1710039110,Dr. BENJAMIN APILADO,General/Other,Audiologist-Hearing Aid Fitter
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1578046884,Dr. MICHELLE AQUINO,General/Other,"Counselor, Mental Health"
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1659123289,Dr. HEMA AREMANDA,General/Other,Student in an Organized Health Care Education/Training Program
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1568183234,Dr. MARIO ARGUETA TURCIOS,General/Other,Hospitalist
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1902987282,Dr. HENRIETTA ARMENDAREZ,General/Other,"Social Worker, Clinical"
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1326858663,Dr. ARACELY ARREOLA-RECENDEZ,General/Other,Case Manager/Care Coordinator
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1003123076,Dr. WENDY ARZAGA,General/Other,Physician Assistant
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1609491620,Dr. ALYSSA ASBURY,General/Other,Behavior Technician
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1730064205,Dr. EMMANUEL ATSIVOR,General/Other,Student in an Organized Health Care Education/Training Program
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1073633301,Dr. MONA ATTALLA,General/Other,Physician Assistant
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1538111661,Dr. HARINDER AULUCK,Psychiatry,"Psychiatry & Neurology, Psychiatry"
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1003067950,Dr. PAMELA AVILA,General/Other,Nurse Practitioner
1730570565,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1831761238,Dr. VANESSA AWAD,General/Other,Student in an Organized Health Care Education/Training Program
1487140935,90265 MEDICAL GROUP INC.,1598641144,Dr. ASHLEIGH ABRAMOVICI,General/Other,Marriage & Family Therapist
1487140935,90265 MEDICAL GROUP INC.,1255156345,Dr. GURLEEN AHUJA,General/Other,"Social Worker, Clinical"
1487140935,90265 MEDICAL GROUP INC.,1427246727,Dr. ANDREW AIELLO,Family Medicine,Family Medicine
1487140935,90265 MEDICAL GROUP INC.,1376927673,Dr. SETH AMITIN,General/Other,"Social Worker, Clinical"
1487140935,90265 MEDICAL GROUP INC.,1992196018,Dr. MARION ANDERSON,General/Other,"Psychologist, Clinical"
1487140935,90265 MEDICAL GROUP INC.,1942768080,Dr. CHRISTEN ANGELICH,General/Other,Occupational Therapist
1487140935,90265 MEDICAL GROUP INC.,1972236461,Dr. BREANNA ANTHONY,General/Other,"Counselor, Mental Health"
1487140935,90265 MEDICAL GROUP INC.,1780167346,Dr. LAUREN ASARNOW,General/Other,"Psychologist, Clinical"
1487140935,90265 MEDICAL GROUP INC.,1841955051,Dr. PATRYCJA BAK,General/Other,"Nurse Practitioner, Psych/Mental Health"
1487140935,90265 MEDICAL GROUP INC.,1598154213,Dr. JOSHUA BALLENGER,General/Other,Chiropractor
1487140935,90265 MEDICAL GROUP INC.,1831786474,Dr. JACQUE BARBERIE,General/Other,"Social Worker, Clinical"
1487140935,90265 MEDICAL GROUP INC.,1962401687,Dr. DAVID BARON,Family Medicine,Family Medicine
1487140935,90265 MEDICAL GROUP INC.,1184929507,Dr. CORINNE BARTHELL,General/Other,Marriage & Family Therapist
1487140935,90265 MEDICAL GROUP INC.,1679189633,Dr. ALISA BASH,General/Other,Marriage & Family Therapist
1487140935,90265 MEDICAL GROUP INC.,1275769887,Dr. ASHLEY BATEMAN,Family Medicine,Family Medicine
1487140935,90265 MEDICAL GROUP INC.,1790718740,Dr. SCOTT BATEMAN,Family Medicine,Family Medicine
1487140935,90265 MEDICAL GROUP INC.,1184790685,Dr. GREGORY BEATON,Orthopedic Surgery,"Physical Therapist, Orthopedic"
1487140935,90265 MEDICAL GROUP INC.,1699631796,Dr. FARAH BEDAIR,General/Other,Pharmacist
1487140935,90265 MEDICAL GROUP INC.,1629255864,Dr. MARLA BEN-TOV,General/Other,Marriage & Family Therapist
1487140935,90265 MEDICAL GROUP INC.,1972515781,Dr. LISA BENYA,Internal Medicine,Internal Medicine
1487140935,90265 MEDICAL GROUP INC.,1811418080,Dr. MICHAEL BEYCHOK,General/Other,Counselor
1487140935,90265 MEDICAL GROUP INC.,1770874976,Dr. ELNA BINCKES,General/Other,Massage Therapist
1487140935,90265 MEDICAL GROUP INC.,1619742616,Dr. GRACE BINDLEY,General/Other,Marriage & Family Therapist
1487140935,90265 MEDICAL GROUP INC.,1609553056,Dr. SAMANTHA BLAUSTEIN,General/Other,"Social Worker, Clinical"
1487140935,90265 MEDICAL GROUP INC.,1972486272,Dr. STEPHEN BOCHNER,Obstetrics & Gynecology,Obstetrics & Gynecology
1487140935,90265 MEDICAL GROUP INC.,1609622877,Dr. ELIA BONNER-WARSZAWSKI,General/Other,Physical Therapist
1487140935,90265 MEDICAL GROUP INC.,1912372541,Dr. OLEG BOUIMER,General/Other,Massage Therapist
1487140935,90265 MEDICAL GROUP INC.,1316983562,Dr. RONALD BOUTELLE,General/Other,"Psychologist, Clinical"
1487140935,90265 MEDICAL GROUP INC.,1962041053,Dr. LISA BRAVERMAN,General/Other,"Counselor, Mental Health"
1487140935,90265 MEDICAL GROUP INC.,1053513432,Dr. DAVID BRESLER,General/Other,"Psychologist, Health"
1487140935,90265 MEDICAL GROUP INC.,1174038996,Dr. GREGG BROCK,General/Other,Marriage & Family Therapist
1487140935,90265 MEDICAL GROUP INC.,1598307803,Dr. MOLLY BRUMAGIN,General/Other,Marriage & Family Therapist
1487140935,90265 MEDICAL GROUP INC.,1174639355,Dr. NICOLE BULICK,General/Other,"Specialist/Technologist, Athletic Trainer"
1487140935,90265 MEDICAL GROUP INC.,1255691366,Dr. ROBERT BUNES,Psychiatry,"Psychiatry & Neurology, Psychiatry"
1487140935,90265 MEDICAL GROUP INC.,1376626622,Dr. MINDY BUONCRISTIANI,General/Other,"Dentist, Endodontics"
1487140935,90265 MEDICAL GROUP INC.,1013634153,Dr. LINDSLEY BURKE,General/Other,Student in an Organized Health Care Education/Training Program
1487140935,90265 MEDICAL GROUP INC.,1952791840,Dr. MELISSA BURKE,General/Other,"Social Worker, Clinical"
1487140935,90265 MEDICAL GROUP INC.,1518509819,Dr. TYTIANA BURNS,General/Other,Marriage & Family Therapist
1487140935,90265 MEDICAL GROUP INC.,1407175136,Dr. RICK CAMPA,Family Medicine,Family Medicine
1487140935,90265 MEDICAL GROUP INC.,1568584134,Dr. SCOTT CAMPBELL,Orthopedic Surgery,"Physical Therapist, Orthopedic"
1487140935,90265 MEDICAL GROUP INC.,1033887724,Dr. KATHRYN CAMPISANO,General/Other,Student in an Organized Health Care Education/Training Program
1487140935,90265 MEDICAL GROUP INC.,1326534306,Dr. BARBARA CAREY,General/Other,Specialist
1487140935,90265 MEDICAL GROUP INC.,1629093083,Dr. KIM CARNAZZOLA,Family Medicine,Family Medicine
1487140935,90265 MEDICAL GROUP INC.,1326771684,Dr. SHELLI CARTER,General/Other,"Counselor, Professional"
1487140935,90265 MEDICAL GROUP INC.,1003268038,Dr. SHERRI CARUSO,General/Other,"Counselor, Addiction (Substance Use Disorder)"
1487140935,90265 MEDICAL GROUP INC.,1700641685,Dr. DEEPA CHEMERY,General/Other,"Specialist/Technologist, Other, EEG"
1487140935,90265 MEDICAL GROUP INC.,1770522773,Dr. TABER CHINN,General/Other,Chiropractor
1487140935,90265 MEDICAL GROUP INC.,1962926873,Dr. ANNA CHOWANIEC,General/Other,Optometrist
1487140935,90265 MEDICAL GROUP INC.,1467585018,Dr. JESSICA CLARK,General/Other,Marriage & Family Therapist
1487140935,90265 MEDICAL GROUP INC.,1851405179,Dr. HARRY COHEN,Internal Medicine,Internal Medicine
1750135349,ABDULLAH KHALID MD,1407143274,Dr. MARCIA -GALBRAITH,General/Other,Physician Assistant
1750135349,ABDULLAH KHALID MD,1669491718,Dr. MAHER ABADIR,Anesthesiology,Anesthesiology
1750135349,ABDULLAH KHALID MD,1356885420,Dr. KRYSTLE ABALOS,General/Other,"Counselor, Mental Health"
1750135349,ABDULLAH KHALID MD,1265549349,Dr. MAUREEN ABARAY,General/Other,"Nurse Practitioner, Family"
1750135349,ABDULLAH KHALID MD,1003555848,Dr. ALEXIS ABARCA,General/Other,Behavior Technician
1750135349,ABDULLAH KHALID MD,1184263899,Dr. CINDY ABARCA,General/Other,Behavior Technician
1750135349,ABDULLAH KHALID MD,1861992596,Dr. JAKE ABARCA,General/Other,Behavior Technician
1750135349,ABDULLAH KHALID MD,1972201291,Dr. JASMIN ABARCA MILLAN,General/Other,Behavior Technician
1750135349,ABDULLAH KHALID MD,1316506694,Dr. RUBY ABARCA,General/Other,"Technician, Other"
1750135349,ABDULLAH KHALID MD,1215114897,Dr. KAFIA ABBASI,Psychiatry,"Psychiatry & Neurology, Psychiatry"
1750135349,ABDULLAH KHALID MD,1588087738,Dr. SEEMA ABBASI,Internal Medicine,Internal Medicine
1750135349,ABDULLAH KHALID MD,1114809084,Dr. KIYANA ABBOTT,General/Other,Day Training/Habilitation Specialist
1750135349,ABDULLAH KHALID MD,1912444399,Dr. VALERIE ABBOTT,General/Other,"Counselor, Addiction (Substance Use Disorder)"
1750135349,ABDULLAH KHALID MD,1104319771,Dr. ABDUL ABDALI,General/Other,Hospitalist
1750135349,ABDULLAH KHALID MD,1861707325,Dr. MASSOUD ABDALI,General/Other,Student in an Organized Health Care Education/Training Program
1750135349,ABDULLAH KHALID MD,1740060383,Dr. HUDA ABDALLAH,General/Other,Behavior Technician
1750135349,ABDULLAH KHALID MD,1912161787,Dr. LOUI ABDELGHANI,Internal Medicine,"Internal Medicine, Critical Care Medicine"
1750135349,ABDULLAH KHALID MD,1962027524,Dr. KARIEM ABDELWAHED,General/Other,Licensed Vocational Nurse
1750135349,ABDULLAH KHALID MD,1154923373,Dr. PARIWASH ABDUL AHMAD,General/Other,Behavior Technician
1750135349,ABDULLAH KHALID MD,1740662469,Dr. MAHA ABDULLA,Pathology,"Pathology, Anatomic Pathology & Clinical Pathology"
1750135349,ABDULLAH KHALID MD,1700556560,Dr. ABDO ABDULLAH,General/Other,"Counselor, Professional"
1750135349,ABDULLAH KHALID MD,1164397881,Dr. ALIYA ABDULLAH,General/Other,Day Training/Habilitation Specialist
1750135349,ABDULLAH KHALID MD,1467032409,Dr. SAMIYAH ABDULLAH,General/Other,Behavior Technician
1750135349,ABDULLAH KHALID MD,1407307762,Dr. KRISSIE ABDULLAHI,General/Other,Marriage & Family Therapist
1750135349,ABDULLAH KHALID MD,1497572051,Dr. JESSICA ABECHI,General/Other,Behavior Technician
1750135349,ABDULLAH KHALID MD,1780260190,Dr. NARIMAN ABEDINI,Pediatrics,Pediatrics
1750135349,ABDULLAH KHALID MD,1497511976,Dr. NGAO ABELLA,General/Other,Registered Nurse
1750135349,ABDULLAH KHALID MD,1821738824,Dr. NATSUMI ABELLANA,General/Other,Registered Nurse
1750135349,ABDULLAH KHALID MD,1720144785,Dr. EMMELINE ABELLERA,General/Other,"Nurse Practitioner, Family"
1750135349,ABDULLAH KHALID MD,1386724805,Dr. GUIDO ABELLERA,Family Medicine,Family Medicine
1750135349,ABDULLAH KHALID MD,1356178438,Dr. RITA ABITIA,General/Other,"Counselor, Addiction (Substance Use Disorder)"
1750135349,ABDULLAH KHALID MD,1750926515,Dr. JAWAHER ABOUSOUD,General/Other,Behavior Technician
1750135349,ABDULLAH KHALID MD,1306591805,Dr. LEDYA ABRAHA,General/Other,Assistant Behavior Analyst
1750135349,ABDULLAH KHALID MD,1558380337,Dr. ANITA ABRAHAM,Internal Medicine,"Internal Medicine, Endocrinology, Diabetes & Metabolism"
1750135349,ABDULLAH KHALID MD,1205050689,Dr. JEWEL ABRAHAM,General/Other,"Counselor, Addiction (Substance Use Disorder)"
1750135349,ABDULLAH KHALID MD,1376574616,Dr. SUSAN ABRAHAM,Pediatrics,Pediatrics
1750135349,ABDULLAH KHALID MD,1699276253,Dr. JESSICA ABRAHAMSON,General/Other,"Counselor, Addiction (Substance Use Disorder)"
1750135349,ABDULLAH KHALID MD,1699369462,Dr. ARTURO ABRERA,General/Other,Occupational Therapist
1750135349,ABDULLAH KHALID MD,1376352682,Dr. ALYSSA ABREU,General/Other,"Dietitian, Registered"
1750135349,ABDULLAH KHALID MD,1821651134,Dr. MAGDALENA ABRICA,General/Other,Behavior Technician
1750135349,ABDULLAH KHALID MD,1699433789,Dr. WILLIAM ABRIEL,General/Other,Behavior Technician
1750135349,ABDULLAH KHALID MD,1740492214,Dr. BADER ABU GHALYOUN,General/Other,Hospitalist
1750135349,ABDULLAH KHALID MD,1750655353,Dr. OGBANEDI ABU,General/Other,Physician Assistant
1750135349,ABDULLAH KHALID MD,1841413036,Dr. JESSE ABUNDEZ,General/Other,Licensed Psychiatric Technician
1750135349,ABDULLAH KHALID MD,1366278483,Dr. ABDUL ABUZAINA,General/Other,Behavior Technician
1750135349,ABDULLAH KHALID MD,1629369517,Dr. MARIA JEANA ACABAL,General/Other,"Nurse Anesthetist, Certified Registered"
1750135349,ABDULLAH KHALID MD,1215672126,Dr. BRIANNA ACEVEDO,General/Other,Behavior Technician
1750135349,ABDULLAH KHALID MD,1588313183,Dr. FAITH ACEVEDO,General/Other,Behavior Technician
1750135349,ABDULLAH KHALID MD,1396430070,Dr. GISEL ACEVEDO,General/Other,Behavior Technician
1750135349,ABDULLAH KHALID MD,1679274369,Dr. GISELLE ACEVEDO,General/Other,Behavior Technician
1528585239,ABOSHADY IN PATIENT SERVICES INC,1376557793,Dr. PAYANDEH ABADEE,Physical Medicine & Rehabilitation,Physical Medicine & Rehabilitation
1528585239,ABOSHADY IN PATIENT SERVICES INC,1265096531,Dr. MARC ABBOUD,Urology,Urology
1528585239,ABOSHADY IN PATIENT SERVICES INC,1750585345,Dr. NIHAL ABDULLA,Internal Medicine,"Internal Medicine, Hematology & Oncology"
1528585239,ABOSHADY IN PATIENT SERVICES INC,1285909051,Dr. GAREN ABEDI,Urology,Urology
1528585239,ABOSHADY IN PATIENT SERVICES INC,1003127655,Dr. MOUSTAFA ABOSHADY,Internal Medicine,Internal Medicine
1528585239,ABOSHADY IN PATIENT SERVICES INC,1013330620,Dr. STEPHANIE ACEVEDO-MORAN,General/Other,"Counselor, Addiction (Substance Use Disorder)"
1528585239,ABOSHADY IN PATIENT SERVICES INC,1033665021,Dr. RUCHI ACHARYA,General/Other,Physical Therapist
1528585239,ABOSHADY IN PATIENT SERVICES INC,1265317689,Dr. TRICIA ACOSTA,General/Other,"Psychologist, School"
1528585239,ABOSHADY IN PATIENT SERVICES INC,1912769779,Dr. NIKO ADAMS,General/Other,Behavior Technician
1528585239,ABOSHADY IN PATIENT SERVICES INC,1215187307,Dr. JULI AGAJANIAN,General/Other,Marriage & Family Therapist
1528585239,ABOSHADY IN PATIENT SERVICES INC,1952386583,Dr. ERNEST AGATSTEIN,Urology,Urology
1528585239,ABOSHADY IN PATIENT SERVICES INC,1982643763,Dr. VIRGINIA AGNELLI,Obstetrics & Gynecology,Obstetrics & Gynecology
1528585239,ABOSHADY IN PATIENT SERVICES INC,1942318373,Dr. DUKE AHN,Surgery,Orthopaedic Surgery
1528585239,ABOSHADY IN PATIENT SERVICES INC,1700770153,Dr. JENNIFER AHN,General/Other,Acupuncturist
1528585239,ABOSHADY IN PATIENT SERVICES INC,1952590739,Dr. WILLIAM AIELLO,Surgery,Plastic Surgery
1528585239,ABOSHADY IN PATIENT SERVICES INC,1245615384,Dr. ALI AKHTAR,General/Other,Marriage & Family Therapist
1528585239,ABOSHADY IN PATIENT SERVICES INC,1063496164,Dr. BLESSING AKPOFURE,Anesthesiology,Anesthesiology
1528585239,ABOSHADY IN PATIENT SERVICES INC,1962045922,Dr. YASMIN ALARAN,General/Other,Physician Assistant
1528585239,ABOSHADY IN PATIENT SERVICES INC,1194161844,Dr. JOSEPH ALBAN,Surgery,Orthopaedic Surgery
1528585239,ABOSHADY IN PATIENT SERVICES INC,1417237587,Dr. MARIO ALCANTARA,General/Other,Physical Therapist
1528585239,ABOSHADY IN PATIENT SERVICES INC,1477095222,Dr. VANESSA ALCOSER,General/Other,"Counselor, Mental Health"
1528585239,ABOSHADY IN PATIENT SERVICES INC,1457890717,Dr. MELIS ALKIN,General/Other,"Psychologist, Clinical"
1528585239,ABOSHADY IN PATIENT SERVICES INC,1720390420,Dr. ATABAK ALLAEI,Radiology,"Radiology, Diagnostic Radiology"
1528585239,ABOSHADY IN PATIENT SERVICES INC,1720016397,Dr. BARRY ALLSWANG,Internal Medicine,Internal Medicine
1528585239,ABOSHADY IN PATIENT SERVICES INC,1588060198,Dr. MELANIE ALTAMIRANO-CARIAGA,General/Other,"Nurse Practitioner, Acute Care"
1528585239,ABOSHADY IN PATIENT SERVICES INC,1679193353,Dr. NANCY ALVAREZ,General/Other,Nurse Practitioner
1528585239,ABOSHADY IN PATIENT SERVICES INC,1194618140,Dr. KIANA AMINIAN,General/Other,"Dentist, Dental Public Health"
1528585239,ABOSHADY IN PATIENT SERVICES INC,1710035746,Dr. DENA AMR,Surgery,Surgery
1528585239,ABOSHADY IN PATIENT SERVICES INC,1861425183,Dr. ALLEN ANAE,Surgery,Surgery
1528585239,ABOSHADY IN PATIENT SERVICES INC,1801292974,Dr. MICHELLE ANCHAROFF,General/Other,"Psychologist, Adult Development & Aging"
1528585239,ABOSHADY IN PATIENT SERVICES INC,1275785412,Dr. PAMELA ANDERSON,General/Other,Physical Therapist
1528585239,ABOSHADY IN PATIENT SERVICES INC,1619984879,Dr. RICHARD ANDERSON,General/Other,Chiropractor
1528585239,ABOSHADY IN PATIENT SERVICES INC,1114934361,Dr. CAROL ANDRIES,General/Other,Marriage & Family Therapist
1528585239,ABOSHADY IN PATIENT SERVICES INC,1346509452,Dr. MILAN ANDRUS,Radiology,"Radiology, Diagnostic Radiology"
1528585239,ABOSHADY IN PATIENT SERVICES INC,1811183585,Dr. JEREMY ANUNTIYO,Internal Medicine,Internal Medicine
1528585239,ABOSHADY IN PATIENT SERVICES INC,1427260900,Dr. TERESA ANZAR,General/Other,"Registered Nurse, Registered Nurse First Assistant"
1528585239,ABOSHADY IN PATIENT SERVICES INC,1417528936,Dr. MARC APKARIAN,General/Other,Clinical Exercise Physiologist
1528585239,ABOSHADY IN PATIENT SERVICES INC,1023075579,Dr. CARLOS ARGUEDAS,Internal Medicine,Internal Medicine
1528585239,ABOSHADY IN PATIENT SERVICES INC,1780404053,Dr. KIERRA ARIAS,General/Other,Student in an Organized Health Care Education/Training Program
1528585239,ABOSHADY IN PATIENT SERVICES INC,1528103694,Dr. GLENN ARIMA,General/Other,"Dentist, Periodontics"
1528585239,ABOSHADY IN PATIENT SERVICES INC,1184089237,Dr. AIDE ARREDONDO,General/Other,"Counselor, Mental Health"
1528585239,ABOSHADY IN PATIENT SERVICES INC,1619860731,Dr. BIANCA ARRIGHI,General/Other,Behavior Technician
1528585239,ABOSHADY IN PATIENT SERVICES INC,1790148070,Dr. ARMIN ARSHI,Surgery,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery"
1528585239,ABOSHADY IN PATIENT SERVICES INC,1417950924,Dr. GARY ASANO,General/Other,Optometrist
1528585239,ABOSHADY IN PATIENT SERVICES INC,1558310896,Dr. MARK ASBILL,Internal Medicine,Internal Medicine
1528585239,ABOSHADY IN PATIENT SERVICES INC,1427481035,Dr. CHERRY ROSE ASLARONA,General/Other,"Counselor, Mental Health"
1528585239,ABOSHADY IN PATIENT SERVICES INC,1104547884,Dr. ENRIKA ASUNCION,General/Other,"Social Worker, Clinical"
1528585239,ABOSHADY IN PATIENT SERVICES INC,1386950608,Dr. SEVIN ATAIE,General/Other,Pharmacist
1528585239,ABOSHADY IN PATIENT SERVICES INC,1619036571,Dr. DON ATKINS,General Practice,"Dentist, General Practice"
1528585239,ABOSHADY IN PATIENT SERVICES INC,1619112059,Dr. ASEYE ATKINSON ALLAH,General/Other,"Social Worker, Clinical"
1750740742,ACADEMIC HOSPITALISTS MANAGEMENT GROUP INC,1861060097,Dr. SANTAYSIA AARON,General/Other,Behavior Technician
1750740742,ACADEMIC HOSPITALISTS MANAGEMENT GROUP INC,1053100529,Dr. SOLVEIG AARON,General/Other,Behavior Technician
1750740742,ACADEMIC HOSPITALISTS MANAGEMENT GROUP INC,1982784542,Dr. EDGAR FERNANDO ABAD,General/Other,Physical Therapist
1750740742,ACADEMIC HOSPITALISTS MANAGEMENT GROUP INC,1093303299,Dr. CLAIRINE ABADI,General/Other,Behavior Technician
1750740742,ACADEMIC HOSPITALISTS MANAGEMENT GROUP INC,1770123069,Dr. BLESSING ABAH,General/Other,Behavior Technician
1750740742,ACADEMIC HOSPITALISTS MANAGEMENT GROUP INC,1992476501,Dr. JENNIFER ABANTO,General/Other,Physical Therapist
1750740742,ACADEMIC HOSPITALISTS MANAGEMENT GROUP INC,1700541133,Dr. CELESTE ABARCA,General/Other,Behavior Technician
1750740742,ACADEMIC HOSPITALISTS MANAGEMENT GROUP INC,1932397791,Dr. EDWARD ABASTA,General/Other,"Counselor, Addiction (Substance Use Disorder)"
1750740742,ACADEMIC HOSPITALISTS MANAGEMENT GROUP INC,1568052389,Dr. KARISSA ABASTO,General/Other,Behavior Technician
1750740742,ACADEMIC HOSPITALISTS MANAGEMENT GROUP INC,1720500838,Dr. LIZBETH ABAUNZA,General/Other,"Counselor, Mental Health"
1750740742,ACADEMIC HOSPITALISTS MANAGEMENT GROUP INC,1437121605,Dr. CECILIA ABBAN,General/Other,"Nurse Practitioner, Family"
1750740742,ACADEMIC HOSPITALISTS MANAGEMENT GROUP INC,1740538198,Dr. VAFA ABBASSI,General/Other,Social Worker
1750740742,ACADEMIC HOSPITALISTS MANAGEMENT GROUP INC,1952689770,Dr. KATHERINE ABBEY,General/Other,Occupational Therapist
1750740742,ACADEMIC HOSPITALISTS MANAGEMENT GROUP INC,1053442186,Dr. CHESTER ABBOTT,Psychiatry,"Psychiatry & Neurology, Psychiatry"
1750740742,ACADEMIC HOSPITALISTS MANAGEMENT GROUP INC,1881891257,Dr. DAVID ABBOTT,Ophthalmology,Ophthalmology
